NAME1,NAME2,NAME3,id,数据仓库,图层,dataType,resolution,zip_level,others,Absolute_path,Absolute_path_server,wmts,note
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2000,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2000.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2001,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2002,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2003,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2004,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2005,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2005.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2006,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2006.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2007,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2007.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2008,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2008.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2009,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2009.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2010,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2010.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2011,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2011.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2012,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2012.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2013,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2013.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2014,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2014.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2015,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2015.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2016,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2016.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2017,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2017.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2018,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2018.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2019,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2019.tif,,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover_2020,,,,,,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2020.tif,,,
土地覆盖数据,中分辨率土地覆盖数据,CLCD土地覆盖,CLCD_v01_1985.tif,landcover100_resample_china_LandCover,CLCD_v01_2022_albert_resample_repoject,byte,30,20,3,F:/landcover100_com_DB/Land_Cover/medium_resolution/CLCD_1985_2022/CLCD_v01_1985_albert.tif,/mnt/yundisk/landcover100DB/Land_Cover/medium_resolution/CLCD/CLCD_v01_1985_albert.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china_LandCover/gwc/service/wmts?layer=landcover100_resample_china_LandCover%3ACLCD_v01_2022_albert_resample_repoject&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=9&TileCol=413&TileRow=212,
土地覆盖数据,中分辨率土地覆盖数据,CLCD土地覆盖,CLCD_v01_1990.tif,landcover100_resample_china_LandCover,CLCD_v01_2022_albert_resample_repoject,byte,30,20,3,F:/landcover100_com_DB/Land_Cover/medium_resolution/CLCD_1985_2022/CLCD_v01_1990_albert.tif,/mnt/yundisk/landcover100DB/Land_Cover/medium_resolution/CLCD/CLCD_v01_1990_albert.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china_LandCover/gwc/service/wmts?layer=landcover100_resample_china_LandCover%3ACLCD_v01_2022_albert_resample_repoject&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=9&TileCol=413&TileRow=212,
土地覆盖数据,中分辨率土地覆盖数据,CLCD土地覆盖,CLCD_v01_1991.tif,landcover100_resample_china_LandCover,CLCD_v01_2022_albert_resample_repoject,byte,30,20,3,F:/landcover100_com_DB/Land_Cover/medium_resolution/CLCD_1985_2022/CLCD_v01_1991_albert.tif,/mnt/yundisk/landcover100DB/Land_Cover/medium_resolution/CLCD/CLCD_v01_1991_albert.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china_LandCover/gwc/service/wmts?layer=landcover100_resample_china_LandCover%3ACLCD_v01_2022_albert_resample_repoject&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=9&TileCol=413&TileRow=212,
