NAME1,NAME2,NAME3,id,数据仓库,图层,dataType,resolution,zip_level,others,Absolute_path,Absolute_path_server,wmts,note
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,MODIS_Landcover,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,,,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2001,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2002,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2003,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2004,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2005,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2005.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2005.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2006,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2006.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2006.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2007,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2007.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2007.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2008,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2008.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2008.tif,,
土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,modis2009,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2009.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2009.tif,,
